iter,fitness,moved_station,old_cell,new_cell,layout,allowed_count
45,0.4113692189724472,28,4133,6980,"[4005 3157 2471 3214 1255 7111 1976 2692 6552 6045 6688 2641  962 3518
 1050 1927 1376 1299 2591 3784 3079 1544 4502  812 7330 2655 3239  771
 6980  592 3881 2247 4082 1389 3579 1749 2027 2111  691 2220]",1004
46,0.4112315812335293,21,1544,1546,"[4005 3157 2471 3214 1255 7111 1976 2692 6552 6045 6688 2641  962 3518
 1050 1927 1376 1299 2591 3784 3079 1546 4502  812 7330 2655 3239  771
 6980  592 3881 2247 4082 1389 3579 1749 2027 2111  691 2220]",1004
47,0.40927323591475956,24,7330,4204,"[4005 3157 2471 3214 1255 7111 1976 2692 6552 6045 6688 2641  962 3518
 1050 1927 1376 1299 2591 3784 3079 1546 4502  812 4204 2655 3239  771
 6980  592 3881 2247 4082 1389 3579 1749 2027 2111  691 2220]",996
48,0.40882805474065054,37,2111,2182,"[4005 3157 2471 3214 1255 7111 1976 2692 6552 6045 6688 2641  962 3518
 1050 1927 1376 1299 2591 3784 3079 1546 4502  812 4204 2655 3239  771
 6980  592 3881 2247 4082 1389 3579 1749 2027 2182  691 2220]",916
49,0.40879079590881306,29,592,661,"[4005 3157 2471 3214 1255 7111 1976 2692 6552 6045 6688 2641  962 3518
 1050 1927 1376 1299 2591 3784 3079 1546 4502  812 4204 2655 3239  771
 6980  661 3881 2247 4082 1389 3579 1749 2027 2182  691 2220]",978
50,0.4091272037845687,30,3881,7330,"[4005 3157 2471 3214 1255 7111 1976 2692 6552 6045 6688 2641  962 3518
 1050 1927 1376 1299 2591 3784 3079 1546 4502  812 4204 2655 3239  771
 6980  661 7330 2247 4082 1389 3579 1749 2027 2182  691 2220]",993
51,0.41148553819582456,8,6552,3740,"[4005 3157 2471 3214 1255 7111 1976 2692 3740 6045 6688 2641  962 3518
 1050 1927 1376 1299 2591 3784 3079 1546 4502  812 4204 2655 3239  771
 6980  661 7330 2247 4082 1389 3579 1749 2027 2182  691 2220]",1019
52,0.41088180208253966,6,1976,2048,"[4005 3157 2471 3214 1255 7111 2048 2692 3740 6045 6688 2641  962 3518
 1050 1927 1376 1299 2591 3784 3079 1546 4502  812 4204 2655 3239  771
 6980  661 7330 2247 4082 1389 3579 1749 2027 2182  691 2220]",974
53,0.41198034319214694,4,1255,1042,"[4005 3157 2471 3214 1042 7111 2048 2692 3740 6045 6688 2641  962 3518
 1050 1927 1376 1299 2591 3784 3079 1546 4502  812 4204 2655 3239  771
 6980  661 7330 2247 4082 1389 3579 1749 2027 2182  691 2220]",965
54,0.413449445304504,10,6688,6617,"[4005 3157 2471 3214 1042 7111 2048 2692 3740 6045 6617 2641  962 3518
 1050 1927 1376 1299 2591 3784 3079 1546 4502  812 4204 2655 3239  771
 6980  661 7330 2247 4082 1389 3579 1749 2027 2182  691 2220]",981
55,0.41239209629271534,8,3740,3811,"[4005 3157 2471 3214 1042 7111 2048 2692 3811 6045 6617 2641  962 3518
 1050 1927 1376 1299 2591 3784 3079 1546 4502  812 4204 2655 3239  771
 6980  661 7330 2247 4082 1389 3579 1749 2027 2182  691 2220]",1006
56,0.4108141624523128,13,3518,3446,"[4005 3157 2471 3214 1042 7111 2048 2692 3811 6045 6617 2641  962 3446
 1050 1927 1376 1299 2591 3784 3079 1546 4502  812 4204 2655 3239  771
 6980  661 7330 2247 4082 1389 3579 1749 2027 2182  691 2220]",946
57,0.41131790334863255,6,2048,1976,"[4005 3157 2471 3214 1042 7111 1976 2692 3811 6045 6617 2641  962 3446
 1050 1927 1376 1299 2591 3784 3079 1546 4502  812 4204 2655 3239  771
 6980  661 7330 2247 4082 1389 3579 1749 2027 2182  691 2220]",961
58,0.4113677339661913,18,2591,2661,"[4005 3157 2471 3214 1042 7111 1976 2692 3811 6045 6617 2641  962 3446
 1050 1927 1376 1299 2661 3784 3079 1546 4502  812 4204 2655 3239  771
 6980  661 7330 2247 4082 1389 3579 1749 2027 2182  691 2220]",974
59,0.41274947330075107,38,691,621,"[4005 3157 2471 3214 1042 7111 1976 2692 3811 6045 6617 2641  962 3446
 1050 1927 1376 1299 2661 3784 3079 1546 4502  812 4204 2655 3239  771
 6980  661 7330 2247 4082 1389 3579 1749 2027 2182  621 2220]",978
60,0.412613749338392,6,1976,1977,"[4005 3157 2471 3214 1042 7111 1977 2692 3811 6045 6617 2641  962 3446
 1050 1927 1376 1299 2661 3784 3079 1546 4502  812 4204 2655 3239  771
 6980  661 7330 2247 4082 1389 3579 1749 2027 2182  621 2220]",962
61,0.4107362125005426,5,7111,7040,"[4005 3157 2471 3214 1042 7040 1977 2692 3811 6045 6617 2641  962 3446
 1050 1927 1376 1299 2661 3784 3079 1546 4502  812 4204 2655 3239  771
 6980  661 7330 2247 4082 1389 3579 1749 2027 2182  621 2220]",968
62,0.41265731860608895,0,4005,2160,"[2160 3157 2471 3214 1042 7040 1977 2692 3811 6045 6617 2641  962 3446
 1050 1927 1376 1299 2661 3784 3079 1546 4502  812 4204 2655 3239  771
 6980  661 7330 2247 4082 1389 3579 1749 2027 2182  621 2220]",931
63,0.41263371913718067,15,1927,1856,"[2160 3157 2471 3214 1042 7040 1977 2692 3811 6045 6617 2641  962 3446
 1050 1856 1376 1299 2661 3784 3079 1546 4502  812 4204 2655 3239  771
 6980  661 7330 2247 4082 1389 3579 1749 2027 2182  621 2220]",925
64,0.4133891732541466,8,3811,3883,"[2160 3157 2471 3214 1042 7040 1977 2692 3883 6045 6617 2641  962 3446
 1050 1856 1376 1299 2661 3784 3079 1546 4502  812 4204 2655 3239  771
 6980  661 7330 2247 4082 1389 3579 1749 2027 2182  621 2220]",964
65,0.41188193603062695,39,2220,2218,"[2160 3157 2471 3214 1042 7040 1977 2692 3883 6045 6617 2641  962 3446
 1050 1856 1376 1299 2661 3784 3079 1546 4502  812 4204 2655 3239  771
 6980  661 7330 2247 4082 1389 3579 1749 2027 2182  621 2218]",942
66,0.4114138941204454,24,4204,2507,"[2160 3157 2471 3214 1042 7040 1977 2692 3883 6045 6617 2641  962 3446
 1050 1856 1376 1299 2661 3784 3079 1546 4502  812 2507 2655 3239  771
 6980  661 7330 2247 4082 1389 3579 1749 2027 2182  621 2218]",976
67,0.4122739558062958,27,771,4276,"[2160 3157 2471 3214 1042 7040 1977 2692 3883 6045 6617 2641  962 3446
 1050 1856 1376 1299 2661 3784 3079 1546 4502  812 2507 2655 3239 4276
 6980  661 7330 2247 4082 1389 3579 1749 2027 2182  621 2218]",997
68,0.41182662339912923,29,661,734,"[2160 3157 2471 3214 1042 7040 1977 2692 3883 6045 6617 2641  962 3446
 1050 1856 1376 1299 2661 3784 3079 1546 4502  812 2507 2655 3239 4276
 6980  734 7330 2247 4082 1389 3579 1749 2027 2182  621 2218]",981
69,0.40874108130684583,1,3157,3087,"[2160 3087 2471 3214 1042 7040 1977 2692 3883 6045 6617 2641  962 3446
 1050 1856 1376 1299 2661 3784 3079 1546 4502  812 2507 2655 3239 4276
 6980  734 7330 2247 4082 1389 3579 1749 2027 2182  621 2218]",928
