iter,fitness,moved_station,old_cell,new_cell,layout,allowed_count
44,0.3500405639957703,30,592,3790,"[4079 3713 4781 5481 1255 2947 1976 2720  812 1017 6688 1306  962 3590
 2170 6907 1376 3291 4553 2180 1121 2642 1390 2214 1878 2740 4132 1057
 2588 2837 3790 2748 4917 4502 3746 1749 3369 1616  690 2223]",966
45,0.3510792733567838,3,5481,2896,"[4079 3713 4781 2896 1255 2947 1976 2720  812 1017 6688 1306  962 3590
 2170 6907 1376 3291 4553 2180 1121 2642 1390 2214 1878 2740 4132 1057
 2588 2837 3790 2748 4917 4502 3746 1749 3369 1616  690 2223]",1035
46,0.3514189338470875,22,1390,318,"[4079 3713 4781 2896 1255 2947 1976 2720  812 1017 6688 1306  962 3590
 2170 6907 1376 3291 4553 2180 1121 2642  318 2214 1878 2740 4132 1057
 2588 2837 3790 2748 4917 4502 3746 1749 3369 1616  690 2223]",998
47,0.33981628732942115,13,3590,2403,"[4079 3713 4781 2896 1255 2947 1976 2720  812 1017 6688 1306  962 2403
 2170 6907 1376 3291 4553 2180 1121 2642  318 2214 1878 2740 4132 1057
 2588 2837 3790 2748 4917 4502 3746 1749 3369 1616  690 2223]",1040
48,0.3402090500050702,17,3291,3290,"[4079 3713 4781 2896 1255 2947 1976 2720  812 1017 6688 1306  962 2403
 2170 6907 1376 3290 4553 2180 1121 2642  318 2214 1878 2740 4132 1057
 2588 2837 3790 2748 4917 4502 3746 1749 3369 1616  690 2223]",1034
49,0.336393566526215,39,2223,2085,"[4079 3713 4781 2896 1255 2947 1976 2720  812 1017 6688 1306  962 2403
 2170 6907 1376 3290 4553 2180 1121 2642  318 2214 1878 2740 4132 1057
 2588 2837 3790 2748 4917 4502 3746 1749 3369 1616  690 2085]",1064
50,0.33820845372719555,34,3746,521,"[4079 3713 4781 2896 1255 2947 1976 2720  812 1017 6688 1306  962 2403
 2170 6907 1376 3290 4553 2180 1121 2642  318 2214 1878 2740 4132 1057
 2588 2837 3790 2748 4917 4502  521 1749 3369 1616  690 2085]",1091
51,0.3418064866308922,34,521,3212,"[4079 3713 4781 2896 1255 2947 1976 2720  812 1017 6688 1306  962 2403
 2170 6907 1376 3290 4553 2180 1121 2642  318 2214 1878 2740 4132 1057
 2588 2837 3790 2748 4917 4502 3212 1749 3369 1616  690 2085]",1091
52,0.34716692090973605,11,1306,4022,"[4079 3713 4781 2896 1255 2947 1976 2720  812 1017 6688 4022  962 2403
 2170 6907 1376 3290 4553 2180 1121 2642  318 2214 1878 2740 4132 1057
 2588 2837 3790 2748 4917 4502 3212 1749 3369 1616  690 2085]",1052
53,0.3482072999932394,5,2947,6187,"[4079 3713 4781 2896 1255 6187 1976 2720  812 1017 6688 4022  962 2403
 2170 6907 1376 3290 4553 2180 1121 2642  318 2214 1878 2740 4132 1057
 2588 2837 3790 2748 4917 4502 3212 1749 3369 1616  690 2085]",965
