iter,fitness,moved_station,old_cell,new_cell,layout,allowed_count
53,0.41251705473877626,4,1255,1042,"[4005 3157 2471 3214 1042 7111 2048 2692 3740 6045 6688 2641  962 3518
 1050 1927 1376 1299 2591 3784 3079 1546 4502  812 4204 2655 3239  771
 6980  661 7330 2247 4082 1389 3579 1749 2027 2182  691 2220]",965
54,0.41398629894070604,10,6688,6617,"[4005 3157 2471 3214 1042 7111 2048 2692 3740 6045 6617 2641  962 3518
 1050 1927 1376 1299 2591 3784 3079 1546 4502  812 4204 2655 3239  771
 6980  661 7330 2247 4082 1389 3579 1749 2027 2182  691 2220]",981
55,0.4129641221488216,8,3740,3811,"[4005 3157 2471 3214 1042 7111 2048 2692 3811 6045 6617 2641  962 3518
 1050 1927 1376 1299 2591 3784 3079 1546 4502  812 4204 2655 3239  771
 6980  661 7330 2247 4082 1389 3579 1749 2027 2182  691 2220]",1006
56,0.4113947066353578,13,3518,3446,"[4005 3157 2471 3214 1042 7111 2048 2692 3811 6045 6617 2641  962 3446
 1050 1927 1376 1299 2591 3784 3079 1546 4502  812 4204 2655 3239  771
 6980  661 7330 2247 4082 1389 3579 1749 2027 2182  691 2220]",946
57,0.41187888181810595,6,2048,1976,"[4005 3157 2471 3214 1042 7111 1976 2692 3811 6045 6617 2641  962 3446
 1050 1927 1376 1299 2591 3784 3079 1546 4502  812 4204 2655 3239  771
 6980  661 7330 2247 4082 1389 3579 1749 2027 2182  691 2220]",961
58,0.41191202668548116,18,2591,2661,"[4005 3157 2471 3214 1042 7111 1976 2692 3811 6045 6617 2641  962 3446
 1050 1927 1376 1299 2661 3784 3079 1546 4502  812 4204 2655 3239  771
 6980  661 7330 2247 4082 1389 3579 1749 2027 2182  691 2220]",974
59,0.41336576966990185,38,691,621,"[4005 3157 2471 3214 1042 7111 1976 2692 3811 6045 6617 2641  962 3446
 1050 1927 1376 1299 2661 3784 3079 1546 4502  812 4204 2655 3239  771
 6980  661 7330 2247 4082 1389 3579 1749 2027 2182  621 2220]",978
60,0.413234575945498,6,1976,1977,"[4005 3157 2471 3214 1042 7111 1977 2692 3811 6045 6617 2641  962 3446
 1050 1927 1376 1299 2661 3784 3079 1546 4502  812 4204 2655 3239  771
 6980  661 7330 2247 4082 1389 3579 1749 2027 2182  621 2220]",962
61,0.41135805341516385,5,7111,7040,"[4005 3157 2471 3214 1042 7040 1977 2692 3811 6045 6617 2641  962 3446
 1050 1927 1376 1299 2661 3784 3079 1546 4502  812 4204 2655 3239  771
 6980  661 7330 2247 4082 1389 3579 1749 2027 2182  621 2220]",968
62,0.4131746303151344,0,4005,2160,"[2160 3157 2471 3214 1042 7040 1977 2692 3811 6045 6617 2641  962 3446
 1050 1927 1376 1299 2661 3784 3079 1546 4502  812 4204 2655 3239  771
 6980  661 7330 2247 4082 1389 3579 1749 2027 2182  621 2220]",931
63,0.4131624050151337,15,1927,1856,"[2160 3157 2471 3214 1042 7040 1977 2692 3811 6045 6617 2641  962 3446
 1050 1856 1376 1299 2661 3784 3079 1546 4502  812 4204 2655 3239  771
 6980  661 7330 2247 4082 1389 3579 1749 2027 2182  621 2220]",925
64,0.413888268194877,8,3811,3883,"[2160 3157 2471 3214 1042 7040 1977 2692 3883 6045 6617 2641  962 3446
 1050 1856 1376 1299 2661 3784 3079 1546 4502  812 4204 2655 3239  771
 6980  661 7330 2247 4082 1389 3579 1749 2027 2182  621 2220]",964
65,0.41245048916954685,39,2220,2218,"[2160 3157 2471 3214 1042 7040 1977 2692 3883 6045 6617 2641  962 3446
 1050 1856 1376 1299 2661 3784 3079 1546 4502  812 4204 2655 3239  771
 6980  661 7330 2247 4082 1389 3579 1749 2027 2182  621 2218]",942
66,0.41196113814587326,24,4204,2507,"[2160 3157 2471 3214 1042 7040 1977 2692 3883 6045 6617 2641  962 3446
 1050 1856 1376 1299 2661 3784 3079 1546 4502  812 2507 2655 3239  771
 6980  661 7330 2247 4082 1389 3579 1749 2027 2182  621 2218]",976
67,0.41276327685684155,27,771,4276,"[2160 3157 2471 3214 1042 7040 1977 2692 3883 6045 6617 2641  962 3446
 1050 1856 1376 1299 2661 3784 3079 1546 4502  812 2507 2655 3239 4276
 6980  661 7330 2247 4082 1389 3579 1749 2027 2182  621 2218]",997
68,0.41235156373142845,29,661,734,"[2160 3157 2471 3214 1042 7040 1977 2692 3883 6045 6617 2641  962 3446
 1050 1856 1376 1299 2661 3784 3079 1546 4502  812 2507 2655 3239 4276
 6980  734 7330 2247 4082 1389 3579 1749 2027 2182  621 2218]",981
69,0.4093972755393568,1,3157,3087,"[2160 3087 2471 3214 1042 7040 1977 2692 3883 6045 6617 2641  962 3446
 1050 1856 1376 1299 2661 3784 3079 1546 4502  812 2507 2655 3239 4276
 6980  734 7330 2247 4082 1389 3579 1749 2027 2182  621 2218]",928
70,0.4118949233618769,35,1749,1678,"[2160 3087 2471 3214 1042 7040 1977 2692 3883 6045 6617 2641  962 3446
 1050 1856 1376 1299 2661 3784 3079 1546 4502  812 2507 2655 3239 4276
 6980  734 7330 2247 4082 1389 3579 1678 2027 2182  621 2218]",948
71,0.41172282940406424,24,2507,2578,"[2160 3087 2471 3214 1042 7040 1977 2692 3883 6045 6617 2641  962 3446
 1050 1856 1376 1299 2661 3784 3079 1546 4502  812 2578 2655 3239 4276
 6980  734 7330 2247 4082 1389 3579 1678 2027 2182  621 2218]",939
72,0.4106890435993485,2,2471,2684,"[2160 3087 2684 3214 1042 7040 1977 2692 3883 6045 6617 2641  962 3446
 1050 1856 1376 1299 2661 3784 3079 1546 4502  812 2578 2655 3239 4276
 6980  734 7330 2247 4082 1389 3579 1678 2027 2182  621 2218]",962
73,0.4106648803285945,7,2692,2693,"[2160 3087 2684 3214 1042 7040 1977 2693 3883 6045 6617 2641  962 3446
 1050 1856 1376 1299 2661 3784 3079 1546 4502  812 2578 2655 3239 4276
 6980  734 7330 2247 4082 1389 3579 1678 2027 2182  621 2218]",957
74,0.4072779821234837,38,621,618,"[2160 3087 2684 3214 1042 7040 1977 2693 3883 6045 6617 2641  962 3446
 1050 1856 1376 1299 2661 3784 3079 1546 4502  812 2578 2655 3239 4276
 6980  734 7330 2247 4082 1389 3579 1678 2027 2182  618 2218]",957
75,0.40668621964686347,29,734,804,"[2160 3087 2684 3214 1042 7040 1977 2693 3883 6045 6617 2641  962 3446
 1050 1856 1376 1299 2661 3784 3079 1546 4502  812 2578 2655 3239 4276
 6980  804 7330 2247 4082 1389 3579 1678 2027 2182  618 2218]",957
76,0.40763232360661916,9,6045,6118,"[2160 3087 2684 3214 1042 7040 1977 2693 3883 6118 6617 2641  962 3446
 1050 1856 1376 1299 2661 3784 3079 1546 4502  812 2578 2655 3239 4276
 6980  804 7330 2247 4082 1389 3579 1678 2027 2182  618 2218]",975
77,0.4079646562328632,39,2218,2148,"[2160 3087 2684 3214 1042 7040 1977 2693 3883 6118 6617 2641  962 3446
 1050 1856 1376 1299 2661 3784 3079 1546 4502  812 2578 2655 3239 4276
 6980  804 7330 2247 4082 1389 3579 1678 2027 2182  618 2148]",940
78,0.40837928762675096,21,1546,1545,"[2160 3087 2684 3214 1042 7040 1977 2693 3883 6118 6617 2641  962 3446
 1050 1856 1376 1299 2661 3784 3079 1545 4502  812 2578 2655 3239 4276
 6980  804 7330 2247 4082 1389 3579 1678 2027 2182  618 2148]",930
79,0.4083357643741465,15,1856,1927,"[2160 3087 2684 3214 1042 7040 1977 2693 3883 6118 6617 2641  962 3446
 1050 1927 1376 1299 2661 3784 3079 1545 4502  812 2578 2655 3239 4276
 6980  804 7330 2247 4082 1389 3579 1678 2027 2182  618 2148]",941
80,0.41159307125656663,20,3079,3220,"[2160 3087 2684 3214 1042 7040 1977 2693 3883 6118 6617 2641  962 3446
 1050 1927 1376 1299 2661 3784 3220 1545 4502  812 2578 2655 3239 4276
 6980  804 7330 2247 4082 1389 3579 1678 2027 2182  618 2148]",903
81,0.4109610511236426,0,2160,1877,"[1877 3087 2684 3214 1042 7040 1977 2693 3883 6118 6617 2641  962 3446
 1050 1927 1376 1299 2661 3784 3220 1545 4502  812 2578 2655 3239 4276
 6980  804 7330 2247 4082 1389 3579 1678 2027 2182  618 2148]",953
82,0.41442629072592524,17,1299,380,"[1877 3087 2684 3214 1042 7040 1977 2693 3883 6118 6617 2641  962 3446
 1050 1927 1376  380 2661 3784 3220 1545 4502  812 2578 2655 3239 4276
 6980  804 7330 2247 4082 1389 3579 1678 2027 2182  618 2148]",906
83,0.4130227474357666,20,3220,3151,"[1877 3087 2684 3214 1042 7040 1977 2693 3883 6118 6617 2641  962 3446
 1050 1927 1376  380 2661 3784 3151 1545 4502  812 2578 2655 3239 4276
 6980  804 7330 2247 4082 1389 3579 1678 2027 2182  618 2148]",889
84,0.4124013792247853,18,2661,2662,"[1877 3087 2684 3214 1042 7040 1977 2693 3883 6118 6617 2641  962 3446
 1050 1927 1376  380 2662 3784 3151 1545 4502  812 2578 2655 3239 4276
 6980  804 7330 2247 4082 1389 3579 1678 2027 2182  618 2148]",913
85,0.4126170193902306,24,2578,2649,"[1877 3087 2684 3214 1042 7040 1977 2693 3883 6118 6617 2641  962 3446
 1050 1927 1376  380 2662 3784 3151 1545 4502  812 2649 2655 3239 4276
 6980  804 7330 2247 4082 1389 3579 1678 2027 2182  618 2148]",889
86,0.41343588550424354,2,2684,2472,"[1877 3087 2472 3214 1042 7040 1977 2693 3883 6118 6617 2641  962 3446
 1050 1927 1376  380 2662 3784 3151 1545 4502  812 2649 2655 3239 4276
 6980  804 7330 2247 4082 1389 3579 1678 2027 2182  618 2148]",949
87,0.41432686367000354,28,6980,6837,"[1877 3087 2472 3214 1042 7040 1977 2693 3883 6118 6617 2641  962 3446
 1050 1927 1376  380 2662 3784 3151 1545 4502  812 2649 2655 3239 4276
 6837  804 7330 2247 4082 1389 3579 1678 2027 2182  618 2148]",950
88,0.4141214613146995,11,2641,2709,"[1877 3087 2472 3214 1042 7040 1977 2693 3883 6118 6617 2709  962 3446
 1050 1927 1376  380 2662 3784 3151 1545 4502  812 2649 2655 3239 4276
 6837  804 7330 2247 4082 1389 3579 1678 2027 2182  618 2148]",951
89,0.4136738217657494,8,3883,3952,"[1877 3087 2472 3214 1042 7040 1977 2693 3952 6118 6617 2709  962 3446
 1050 1927 1376  380 2662 3784 3151 1545 4502  812 2649 2655 3239 4276
 6837  804 7330 2247 4082 1389 3579 1678 2027 2182  618 2148]",991
90,0.4145159955254526,39,2148,2287,"[1877 3087 2472 3214 1042 7040 1977 2693 3952 6118 6617 2709  962 3446
 1050 1927 1376  380 2662 3784 3151 1545 4502  812 2649 2655 3239 4276
 6837  804 7330 2247 4082 1389 3579 1678 2027 2182  618 2287]",955
91,0.4156277460266182,7,2693,553,"[1877 3087 2472 3214 1042 7040 1977  553 3952 6118 6617 2709  962 3446
 1050 1927 1376  380 2662 3784 3151 1545 4502  812 2649 2655 3239 4276
 6837  804 7330 2247 4082 1389 3579 1678 2027 2182  618 2287]",982
92,0.4151954343536979,29,804,805,"[1877 3087 2472 3214 1042 7040 1977  553 3952 6118 6617 2709  962 3446
 1050 1927 1376  380 2662 3784 3151 1545 4502  812 2649 2655 3239 4276
 6837  805 7330 2247 4082 1389 3579 1678 2027 2182  618 2287]",978
93,0.414688101454031,22,4502,4501,"[1877 3087 2472 3214 1042 7040 1977  553 3952 6118 6617 2709  962 3446
 1050 1927 1376  380 2662 3784 3151 1545 4501  812 2649 2655 3239 4276
 6837  805 7330 2247 4082 1389 3579 1678 2027 2182  618 2287]",1019
94,0.41502807703394307,0,1877,2016,"[2016 3087 2472 3214 1042 7040 1977  553 3952 6118 6617 2709  962 3446
 1050 1927 1376  380 2662 3784 3151 1545 4501  812 2649 2655 3239 4276
 6837  805 7330 2247 4082 1389 3579 1678 2027 2182  618 2287]",1003
95,0.4141210711507919,7,553,483,"[2016 3087 2472 3214 1042 7040 1977  483 3952 6118 6617 2709  962 3446
 1050 1927 1376  380 2662 3784 3151 1545 4501  812 2649 2655 3239 4276
 6837  805 7330 2247 4082 1389 3579 1678 2027 2182  618 2287]",966
96,0.41355701797519295,2,2472,2760,"[2016 3087 2760 3214 1042 7040 1977  483 3952 6118 6617 2709  962 3446
 1050 1927 1376  380 2662 3784 3151 1545 4501  812 2649 2655 3239 4276
 6837  805 7330 2247 4082 1389 3579 1678 2027 2182  618 2287]",977
97,0.41121833602000213,12,962,889,"[2016 3087 2760 3214 1042 7040 1977  483 3952 6118 6617 2709  889 3446
 1050 1927 1376  380 2662 3784 3151 1545 4501  812 2649 2655 3239 4276
 6837  805 7330 2247 4082 1389 3579 1678 2027 2182  618 2287]",920
98,0.4058592559760509,25,2655,3604,"[2016 3087 2760 3214 1042 7040 1977  483 3952 6118 6617 2709  889 3446
 1050 1927 1376  380 2662 3784 3151 1545 4501  812 2649 3604 3239 4276
 6837  805 7330 2247 4082 1389 3579 1678 2027 2182  618 2287]",889
