nearest_time,station_count,incident_freq,efficiency,expected_served
410.3,3,0.00029040270313669084,0.07335451695514578,2.1302350011060554e-05
459.9,3,9.907856930545922e-05,0.06714822452477784,6.652950017316738e-06
462.2,3,3.758152628827764e-05,0.020780430584006,7.809602982745501e-07
494.7,3,0.0,0.06699142335574772,0.0
488.9,5,0.0,0.0734792629555693,0.0
509.3,5,0.0,0.058820042041591865,0.0
636.6,3,0.0,0.04939900810510653,0.0
559.5,5,0.0,0.05864011949095128,0.0
500.7,5,0.0,0.06893936352682531,0.0
601.0,4,0.0,0.056665349834942993,0.0
586.5,3,3.4165023898434215e-06,0.03360721427355543,1.1481912788158209e-07
557.3,3,6.491354540702501e-05,0.01775055564310355,1.1522514997385264e-06
570.5,2,6.833004779686844e-05,0.039155571864026045,2.6755020969826167e-06
552.4,1,0.00013324359320389343,0.051795593872981646,6.901431039765642e-06
493.5,1,0.0002801531959671606,0.05299733715316678,1.4847373381208813e-05
452.6,2,0.00019132413383123162,0.0605941358678797,1.1593120560174048e-05
418.3,2,0.00013324359320389343,0.06532594982091622,8.704264283596116e-06
447.5,2,0.00029040270313669084,0.053472416698973194,1.5528534352633343e-05
410.8,2,0.00014690960276326714,0.07112064568112295,1.0448305805280843e-05
487.2,1,0.00020157364100076189,0.041092430214045676,8.283150775814904e-06
486.9,1,0.00035189974615387244,0.057621919980096074,2.027713901389456e-05
431.6,2,0.0003006522103062211,0.07595712696763467,2.2836678111329637e-05
482.3,1,5.808054062733817e-05,0.05516819735236129,3.20419872766083e-06
512.9,1,6.833004779686843e-06,0.0101344268837905,6.924858733632732e-08
537.9,1,0.0,0.01861809512895943,0.0
562.1,1,0.0,0.020804922089665265,0.0
613.5,1,0.0,0.016586135574459607,0.0
612.4,1,0.0,0.016586135574459607,0.0
700.4,1,0.0,0.014595373084873785,0.0
576.9,1,0.0,0.017913037040294944,0.0
1318.8,0,0.0,0.018453659593487656,0.0
577.8,2,0.0,0.01824788727132852,0.0
806.2,0,0.0,0.018453659593487656,0.0
774.7,0,0.0,0.01915152494682099,0.0
928.1,0,0.0,0.018453659593487656,0.0
865.5,0,0.0,0.018453659593487656,0.0
1301.1,0,0.0,0.018453659593487656,0.0
1268.3,0,0.0,0.018453659593487656,0.0
1233.9,0,0.0,0.018453659593487656,0.0
1128.8,0,0.0,0.018453659593487656,0.0
1201.1,0,0.0,0.018453659593487656,0.0
1102.2,0,0.0,0.018453659593487656,0.0
960.4,0,0.0,0.018453659593487656,0.0
894.7,0,0.0,0.018453659593487656,0.0
838.4,0,0.0,0.018453659593487656,0.0
833.6,0,0.0,0.018453659593487656,0.0
841.0,0,0.0,0.018453659593487656,0.0
793.5,0,0.0,0.01915152494682099,0.0
790.5,0,0.0,0.01915152494682099,0.0
842.8,0,0.0,0.018453659593487656,0.0
734.2,1,0.0,0.015602836577982861,0.0
784.5,0,0.0,0.01915152494682099,0.0
828.1,0,0.0,0.018453659593487656,0.0
598.4,2,0.0,0.017208379944105127,0.0
538.4,2,3.4165023898434215e-06,0.00043257328522156377,1.4778876627418927e-09
492.0,2,0.0,0.04140880308269824,0.0
444.9,2,3.074852150859079e-05,0.056598256469232,1.740312706392918e-06
474.9,2,9.224556452577238e-05,0.04021290334248341,3.7094619700477012e-06
425.4,2,0.00024257166967888295,0.07397305071845729,1.7943766424016877e-05
395.4,3,0.00022890566011950924,0.09769041512379652,2.236188896126153e-05
280.8,3,0.00015374260754295397,0.38958707756237626,5.989613316947878e-05
247.8,4,0.00014690960276326714,0.4249698050166673,6.243214524138168e-05
219.0,4,0.0002562376792382566,0.5298179417399719,0.00013575931981024025
252.2,4,0.0002630706840179435,0.3814515761301191,0.00010034872705227308
219.6,3,0.0003553162485437159,0.5634688380206693,0.00020020963369679092
204.0,3,0.0003928977748319935,0.628830758590216,0.00024706620579601033
200.7,4,0.0001708251194921711,0.600361354991978,0.00010255680020498638
242.6,4,8.541255974608554e-05,0.47839883517798804,4.086126909209763e-05
287.7,4,0.00019815713861091845,0.3257718611131382,6.4554019838133e-05
339.6,3,0.0002562376792382566,0.20562578897901487,5.268907495951825e-05
416.2,3,0.00022548915772966583,0.07396961025930991,1.667934511496344e-05
401.8,3,0.00013324359320389343,0.09403891651426598,1.2530083137361751e-05
422.0,3,0.00010932807647498949,0.052443097102752356,5.733502930635009e-06
490.4,3,4.4414531067964485e-05,0.03763109271666319,1.6713673365856895e-06
507.7,3,3.4165023898434215e-06,0.03646756850601205,1.2459153495256887e-07
512.9,3,0.0,0.05751466746379278,0.0
594.3,2,0.0,0.016541713277438457,0.0
639.2,3,0.0,0.0460656747717732,0.0
526.5,5,0.0,0.057074856374110125,0.0
503.0,5,0.0,0.061480804181466835,0.0
645.3,2,0.0,0.014849156423516797,0.0
625.4,2,3.4165023898434215e-06,0.015254299075852922,5.2116349248037806e-08
546.9,3,7.516305257655528e-05,0.030420972489739722,2.2865331546762485e-06
499.5,3,0.0001400765979835803,0.04395884951927276,6.157606091931872e-06
449.5,3,0.0002084066457804487,0.056917881466712075,1.186206476140663e-05
434.9,3,0.00041339678917105404,0.06514534049320046,2.693087458934412e-05
392.5,2,0.00021523965056013556,0.09353484539743168,2.0132407438539497e-05
401.3,2,0.00012982709081405002,0.09820804376602014,1.2750064616681297e-05
421.2,2,6.833004779686844e-05,0.08898470576331809,6.080329197997799e-06
343.6,2,7.174655018671185e-05,0.1806557251807135,1.2961425053194885e-05
387.4,2,4.7831033457807905e-05,0.12820077883993286,6.1319757420098605e-06
443.7,2,0.00024257166967888295,0.09271011036557802,2.2488846267491775e-05
386.8,2,0.0003621492533234027,0.10467239999127695,3.7907031500409494e-05
481.4,1,0.00010591157408514608,0.0408529075594718,4.326795745578622e-06
495.6,1,6.149704301718158e-05,0.028877689853109446,1.7758925351334997e-06
525.4,1,5.808054062733817e-05,0.0564341269934863,3.277724605613543e-06
634.1,1,1.3666009559373686e-05,0.019911082209699907,2.7210503981523424e-07
563.7,1,3.4165023898434215e-06,0.05038944203690533,1.7215564914196364e-07
555.1,1,0.0,0.018700125048714537,0.0
701.5,1,0.0,0.014595373084873785,0.0
551.1,1,0.0,0.020366791715381204,0.0
628.3,1,0.0,0.01488960898717965,0.0
559.1,2,0.0,0.02011547544567864,0.0
806.2,0,0.0,0.018453659593487656,0.0
777.4,0,0.0,0.01915152494682099,0.0
928.1,0,0.0,0.018453659593487656,0.0
865.9,0,0.0,0.018453659593487656,0.0
1424.2,0,0.0,0.018453659593487656,0.0
1211.7,0,0.0,0.018453659593487656,0.0
1185.4,0,0.0,0.018453659593487656,0.0
1182.5,0,0.0,0.018453659593487656,0.0
1207.6,0,0.0,0.018453659593487656,0.0
1071.0,0,0.0,0.018453659593487656,0.0
1049.9,0,0.0,0.018453659593487656,0.0
978.8,0,0.0,0.018453659593487656,0.0
972.7,0,0.0,0.018453659593487656,0.0
847.1,0,0.0,0.018453659593487656,0.0
756.2,0,0.0,0.018292913074720533,0.0
733.3,1,0.0,0.015602836577982861,0.0
812.2,0,0.0,0.018453659593487656,0.0
741.2,1,0.0,0.015997498167760638,0.0
681.6,1,0.0,0.014595373084873785,0.0
731.7,1,0.0,0.015602836577982861,0.0
763.5,0,0.0,0.018292913074720533,0.0
741.4,1,0.0,0.015997498167760638,0.0
774.5,0,3.4165023898434215e-06,0.07037767003779304,2.4044547787573166e-07
518.2,2,1.0249507169530265e-05,0.03947360441251321,4.045849914332556e-07
479.8,2,2.7332019118747372e-05,0.02508108994887797,6.855168300017553e-07
427.1,2,6.149704301718158e-05,0.05939513644722972,3.652625261106656e-06
439.1,2,0.00016399211471248423,0.05593892654262615,9.173542858471578e-06
395.4,3,0.00019474063622107503,0.12159243232306888,2.3678987630262443e-05
308.1,3,0.0002801531959671606,0.318179637523003,8.913904234374197e-05
256.5,4,0.0005295578704257304,0.39332461822779674,0.00020828814721472546
169.6,4,0.00030406871269606455,0.6693790539130142,0.0002035372272290398
200.2,4,0.000283569698357004,0.5439265391876419,0.00015424108464580873
118.5,4,0.00032798422942496847,0.6870418524401416,0.00022533889255528272
152.7,4,0.0004543948178491751,0.643720390863837,0.000292503209752373
204.3,4,0.0002391551672890395,0.5453628393185925,0.00013042634107046357
249.9,4,0.00013666009559373687,0.4341002646313038,5.932418366178045e-05
346.8,4,0.0002391551672890395,0.13989605962690066,3.345686554314887e-05
399.1,3,0.0002699036887976303,0.08379959773741696,2.2617820549086394e-05
308.8,4,0.0003109017174757514,0.22617769229329027,7.031903298868596e-05
443.3,3,0.00013666009559373687,0.05266932416302199,7.1977948749761e-06
465.2,3,0.0002084066457804487,0.04130688774135922,8.608629921806209e-06
430.4,3,9.566206691561581e-05,0.27226122735055885,2.604507174933685e-05
396.4,4,0.0,0.29322397937025724,0.0
567.8,3,0.0,0.05646707416199152,0.0
594.3,2,0.0,0.016541713277438457,0.0
523.5,3,0.0,0.05674369682815036,0.0
447.7,5,0.0,0.08467072272106288,0.0
442.4,6,0.0,0.08383899597975386,0.0
561.9,3,0.0,0.05872278259237247,0.0
567.2,2,3.4165023898434215e-06,0.005087131667352502,1.7380197498957973e-08
540.5,3,9.907856930545922e-05,0.03565694407250453,3.5328390045085238e-06
448.5,3,0.0003143182198655948,0.05246287029296554,1.6490035999524525e-05
528.3,2,0.00022207265533982242,0.04490281314042033,9.971686946321012e-06
415.3,3,0.00015374260754295397,0.07626595272389718,1.1725326438519604e-05
340.3,3,0.00026648718640778687,0.22804083154163143,6.076995958362146e-05
383.4,2,0.00022207265533982242,0.16323268493578288,3.624951578193794e-05
378.7,2,5.808054062733817e-05,0.14506401670803082,8.425396515975647e-06
289.4,2,0.00011274457886483292,0.3376694325598073,3.807039796948258e-05
410.1,2,0.00010591157408514608,0.08281699724322719,8.771278539035395e-06
318.3,2,0.0002391551672890395,0.24082195005721366,5.759381375280565e-05
350.7,2,0.0002528211768484132,0.20246381278263403,5.1187139416922346e-05
382.5,2,0.00027673669357731714,0.14956840140931463,4.1391064869658674e-05
432.1,2,0.00010932807647498949,0.07263098986796512,7.940606414739077e-06
478.3,1,0.0001879076314413882,0.07533402689638113,1.4155838561040812e-05
638.3,1,0.00018449112905154477,0.05817167188292765,1.0732157424497324e-05
516.0,1,0.00010932807647498949,0.04471111112821663,4.888179776707421e-06
604.9,1,0.0,0.01959539483371887,0.0
503.0,1,0.0,0.023301944839788973,0.0
526.0,1,0.0,0.018964725215443148,0.0
1359.0,0,0.0,0.018453659593487656,0.0
651.4,1,0.0,0.014616623813184551,0.0
651.4,1,0.0,0.014616623813184551,0.0
651.4,1,0.0,0.014616623813184551,0.0
703.1,1,0.0,0.014595373084873785,0.0
706.6,1,0.0,0.014851783341540453,0.0
1305.9,0,0.0,0.018453659593487656,0.0
1271.3,0,0.0,0.018453659593487656,0.0
1286.7,0,0.0,0.018453659593487656,0.0
1252.6,0,0.0,0.018453659593487656,0.0
1190.2,0,0.0,0.018453659593487656,0.0
1171.0,0,0.0,0.018453659593487656,0.0
1071.7,0,0.0,0.018453659593487656,0.0
1018.1,0,0.0,0.018453659593487656,0.0
996.7,0,0.0,0.018453659593487656,0.0
921.5,0,0.0,0.018453659593487656,0.0
830.8,0,0.0,0.018453659593487656,0.0
