iter,fitness,moved_station,old_cell,new_cell,layout,allowed_count
47,0.40327473879919273,0,2759,2829,"[2829 3085 4781 3284 1326 7330 2118 4013  812 6046 6756 2247 1172 3592
  767 6907 1734 1299 2520 3573 3079 2853 2655 2285 2649 3166 4148 7251
 3991  733 3671 6406 1461 2254 3652 1749 2027 1549  619 2154]",944
48,0.40364686300444974,18,2520,2591,"[2829 3085 4781 3284 1326 7330 2118 4013  812 6046 6756 2247 1172 3592
  767 6907 1734 1299 2591 3573 3079 2853 2655 2285 2649 3166 4148 7251
 3991  733 3671 6406 1461 2254 3652 1749 2027 1549  619 2154]",907
49,0.40232158020425857,21,2853,2924,"[2829 3085 4781 3284 1326 7330 2118 4013  812 6046 6756 2247 1172 3592
  767 6907 1734 1299 2591 3573 3079 2924 2655 2285 2649 3166 4148 7251
 3991  733 3671 6406 1461 2254 3652 1749 2027 1549  619 2154]",892
50,0.4026431648869766,30,3671,3811,"[2829 3085 4781 3284 1326 7330 2118 4013  812 6046 6756 2247 1172 3592
  767 6907 1734 1299 2591 3573 3079 2924 2655 2285 2649 3166 4148 7251
 3991  733 3811 6406 1461 2254 3652 1749 2027 1549  619 2154]",948
51,0.40623746888913354,35,1749,4575,"[2829 3085 4781 3284 1326 7330 2118 4013  812 6046 6756 2247 1172 3592
  767 6907 1734 1299 2591 3573 3079 2924 2655 2285 2649 3166 4148 7251
 3991  733 3811 6406 1461 2254 3652 4575 2027 1549  619 2154]",887
52,0.40810302480154925,20,3079,3077,"[2829 3085 4781 3284 1326 7330 2118 4013  812 6046 6756 2247 1172 3592
  767 6907 1734 1299 2591 3573 3077 2924 2655 2285 2649 3166 4148 7251
 3991  733 3811 6406 1461 2254 3652 4575 2027 1549  619 2154]",878
53,0.4086312659620428,16,1734,1858,"[2829 3085 4781 3284 1326 7330 2118 4013  812 6046 6756 2247 1172 3592
  767 6907 1858 1299 2591 3573 3077 2924 2655 2285 2649 3166 4148 7251
 3991  733 3811 6406 1461 2254 3652 4575 2027 1549  619 2154]",941
54,0.4071873362818351,4,1326,1185,"[2829 3085 4781 3284 1185 7330 2118 4013  812 6046 6756 2247 1172 3592
  767 6907 1858 1299 2591 3573 3077 2924 2655 2285 2649 3166 4148 7251
 3991  733 3811 6406 1461 2254 3652 4575 2027 1549  619 2154]",986
55,0.4058899145572594,37,1549,1682,"[2829 3085 4781 3284 1185 7330 2118 4013  812 6046 6756 2247 1172 3592
  767 6907 1858 1299 2591 3573 3077 2924 2655 2285 2649 3166 4148 7251
 3991  733 3811 6406 1461 2254 3652 4575 2027 1682  619 2154]",988
56,0.40868391355735667,21,2924,1263,"[2829 3085 4781 3284 1185 7330 2118 4013  812 6046 6756 2247 1172 3592
  767 6907 1858 1299 2591 3573 3077 1263 2655 2285 2649 3166 4148 7251
 3991  733 3811 6406 1461 2254 3652 4575 2027 1682  619 2154]",979
57,0.40902548779174414,39,2154,2782,"[2829 3085 4781 3284 1185 7330 2118 4013  812 6046 6756 2247 1172 3592
  767 6907 1858 1299 2591 3573 3077 1263 2655 2285 2649 3166 4148 7251
 3991  733 3811 6406 1461 2254 3652 4575 2027 1682  619 2782]",1005
58,0.40996089689294274,8,812,740,"[2829 3085 4781 3284 1185 7330 2118 4013  740 6046 6756 2247 1172 3592
  767 6907 1858 1299 2591 3573 3077 1263 2655 2285 2649 3166 4148 7251
 3991  733 3811 6406 1461 2254 3652 4575 2027 1682  619 2782]",1035
59,0.41136509942890254,9,6046,2221,"[2829 3085 4781 3284 1185 7330 2118 4013  740 2221 6756 2247 1172 3592
  767 6907 1858 1299 2591 3573 3077 1263 2655 2285 2649 3166 4148 7251
 3991  733 3811 6406 1461 2254 3652 4575 2027 1682  619 2782]",1038
